Time,Power Consumption (kW),Power Generation (kW),Power Surplus (kW)
00:00:00,1.23,0.0,-1.23
00:00:05,0.58,0.0,-0.58
00:00:10,1.13,0.0,-1.13
00:00:15,1.18,0.0,-1.18
00:00:20,0.58,0.0,-0.58
00:00:25,1.19,0.0,-1.19
00:00:30,1.29,0.0,-1.29
00:00:35,0.53,0.0,-0.53
00:00:40,0.69,0.0,-0.69
00:00:45,1.36,0.0,-1.36
00:00:50,0.59,0.0,-0.59
00:00:55,0.66,0.0,-0.66
00:01:00,1.0,0.0,-1.0
00:01:05,0.92,0.0,-0.92
00:01:10,0.65,0.0,-0.65
00:01:15,1.18,0.0,-1.18
00:01:20,1.04,0.0,-1.04
00:01:25,1.01,0.0,-1.01
00:01:30,1.37,0.0,-1.37
00:01:35,1.33,0.0,-1.33
00:01:40,1.22,0.0,-1.22
00:01:45,0.72,0.0,-0.72
00:01:50,1.2,0.0,-1.2
00:01:55,0.86,0.0,-0.86
00:02:00,0.7,0.0,-0.7
00:02:05,1.11,0.0,-1.11
00:02:10,0.73,0.0,-0.73
00:02:15,0.53,0.0,-0.53
00:02:20,0.93,0.0,-0.93
00:02:25,1.48,0.0,-1.48
00:02:30,1.33,0.0,-1.33
00:02:35,1.02,0.0,-1.02
00:02:40,1.0,0.0,-1.0
00:02:45,1.03,0.0,-1.03
00:02:50,1.07,0.0,-1.07
00:02:55,1.27,0.0,-1.27
00:03:00,0.59,0.0,-0.59
00:03:05,0.94,0.0,-0.94
00:03:10,0.94,0.0,-0.94
00:03:15,1.12,0.0,-1.12
00:03:20,0.57,0.0,-0.57
00:03:25,1.02,0.0,-1.02
00:03:30,1.28,0.0,-1.28
00:03:35,1.4,0.0,-1.4
00:03:40,1.24,0.0,-1.24
00:03:45,1.25,0.0,-1.25
00:03:50,0.61,0.0,-0.61
00:03:55,1.23,0.0,-1.23
00:04:00,1.33,0.0,-1.33
00:04:05,1.3,0.0,-1.3
00:04:10,1.24,0.0,-1.24
00:04:15,1.25,0.0,-1.25
00:04:20,0.56,0.0,-0.56
00:04:25,1.12,0.0,-1.12
00:04:30,1.03,0.0,-1.03
00:04:35,1.29,0.0,-1.29
00:04:40,1.35,0.0,-1.35
00:04:45,1.03,0.0,-1.03
00:04:50,1.06,0.0,-1.06
00:04:55,0.78,0.0,-0.78
00:05:00,1.06,0.0,-1.06
00:05:05,1.28,0.0,-1.28
00:05:10,0.95,0.0,-0.95
00:05:15,0.89,0.0,-0.89
00:05:20,1.14,0.0,-1.14
00:05:25,0.78,0.0,-0.78
00:05:30,1.47,0.0,-1.47
00:05:35,1.36,0.0,-1.36
00:05:40,1.11,0.0,-1.11
00:05:45,1.48,0.0,-1.48
00:05:50,1.24,0.0,-1.24
00:05:55,1.07,0.0,-1.07
00:06:00,1.21,0.0,-1.21
00:06:05,0.74,0.0,-0.74
00:06:10,1.04,0.0,-1.04
00:06:15,1.49,0.0,-1.49
00:06:20,1.05,0.0,-1.05
00:06:25,1.31,0.0,-1.31
00:06:30,0.56,0.0,-0.56
00:06:35,1.16,0.0,-1.16
00:06:40,0.6,0.0,-0.6
00:06:45,1.11,0.0,-1.11
